Alloy Formula,Rm,Rmd,Vmm,Eea,Eead,XM,XMd,XP,XPd,Hf,Hfd,I1,I1d,I2,I2d,Tm,Tmd,Cp,Cpd,K,Kd,VEC,VECd,Hmix,Smix,Dmax
(Zr0.62Cu0.23Fe0.05Al0.10)100,0.53366148,0.263650278,0.397167007,0.405963216,0.004683764,0.299804838,0.466591082,0.370129047,0.456241124,0.264784653,0.055730415,0.360643847,0.379210801,0.281816411,0.174695435,0.589196195,0.475943778,0.382995511,0.015814131,0.306052047,0.692726009,0.449866667,0.384537008,0.547146384,0.377904473,3
Sc36Al24Co20Y20,0.60865421,0.44774084,0.489685479,0.287904964,0.003673963,0.178213754,0.451206808,0.354416996,0.428192111,0.195657035,0.061473156,0.261267381,0.46694754,0.223141206,0.157233666,0.43399431,0.462294581,0.404007327,0.060922644,0.131546327,0.61019361,0.248533333,0.429827719,0.354907646,0.649713087,3
Tm39Y16Al25Co20,0.550783305,0.375252239,0.422599306,0.449122279,0.003099198,0.224564737,0.420261757,0.324208191,0.510866682,0.233938517,0.086763028,0.209048372,0.507135896,0.198843304,0.178017712,0.429410617,0.474619322,0.450141968,0.112995163,0.140801245,0.596052037,0.248533333,0.429827719,0.374858782,0.62956422,3
Cu40Ag20Zr30Ti10,0.438820703,0.237226007,0.304178396,0.548994663,0.004022291,0.465050588,0.468612501,0.530635027,0.427806076,0.226168397,0.059687015,0.508552745,0.295738714,0.524026429,0.179629722,0.45610814,0.467797508,0.377876143,0.011632962,0.746573027,0.416133007,0.781866667,0.251457262,0.759268684,0.590310655,3
Tm55Al25Co20,0.494931824,0.143235559,0.352558651,0.506307057,0.002077178,0.251271121,0.37781375,0.328374923,0.497451371,0.263077302,0.070684067,0.207070209,0.509219254,0.195181396,0.180480752,0.431507029,0.476299334,0.457036739,0.120234265,0.140568599,0.596875328,0.248533333,0.429827719,0.369452885,0.364153952,3
Cu48Zr48Ag4,0.458120621,0.34895154,0.328286522,0.5295059,0.003611054,0.436033075,0.482726836,0.468654892,0.503729503,0.250707379,0.049949833,0.477546538,0.333784379,0.435971281,0.186882469,0.525058558,0.447935744,0.374256388,0.015240994,0.620566564,0.489303625,0.7072,0.29749016,0.637230576,0.23297657,3
Ti40Zr10Cu32Pd18,0.401692161,0.08152814,0.263954875,0.389411906,0.007478836,0.407785938,0.521774664,0.57751076,0.444333366,0.26362968,0.033414704,0.541889288,0.377818678,0.415208264,0.167247859,0.545865165,0.28482256,0.386253291,0.024777224,0.372428634,0.655284491,0.664533333,0.295356723,0.352779074,0.582470127,3
Ti40Zr10Cu30Pd20,0.404490505,0.073407453,0.2661373,0.382739028,0.007520424,0.407272354,0.520633874,0.582719174,0.455803635,0.26667613,0.033139303,0.546467537,0.38604983,0.413196503,0.166391752,0.552351351,0.274912304,0.388907778,0.025740279,0.348495258,0.672641965,0.661866667,0.293753426,0.300612176,0.590310655,3
Cu45Zr25Ag10Hf20,0.451297855,0.301302638,0.319104126,0.518172701,0.004535897,0.445791177,0.481702129,0.479852984,0.515362766,0.291265328,0.139051831,0.500759982,0.297304554,0.506191794,0.162499775,0.556172475,0.580751448,0.382961037,0.025837028,0.668146145,0.460839491,0.7352,0.281048582,0.709644246,0.572858804,3
Lu55Al25Co20,0.633767182,0.474683441,0.519663717,0.291220612,0.003334782,0.04647938,0.719658354,0.337923683,0.468302946,0.295483488,0.091400435,0.050877754,0.744360068,0.308471665,0.107924658,0.472090518,0.512123903,0.448978475,0.110013111,0.139768882,0.599717413,0.248533333,0.429827719,0.329964503,0.364153952,3
Cu55Ag5Zr30Ti10,0.402687449,0.298039442,0.274467393,0.543945453,0.003984793,0.46890247,0.475082795,0.526728716,0.420930408,0.234956232,0.045761602,0.516982417,0.306042351,0.504784248,0.172501691,0.468814876,0.436281792,0.366111939,0.011813951,0.731305685,0.414942207,0.781866667,0.251457262,0.730127524,0.422397903,3
Zr47Cu46Al7,0.459346699,0.336063097,0.328697469,0.504301036,0.003863554,0.398541421,0.527075541,0.4549394,0.483749267,0.246465784,0.056212709,0.438253027,0.387796452,0.427401273,0.179810244,0.502652334,0.51018229,0.368878466,0.018008092,0.588516051,0.489251246,0.641866667,0.344551612,0.569014923,0.284874642,3
Cu40Zr40Ag10Al10,0.457284002,0.280343664,0.323635927,0.523554565,0.003735239,0.409840275,0.535485936,0.484627364,0.463354102,0.229315279,0.068274413,0.441714813,0.399654623,0.490485643,0.175054458,0.448214876,0.561275079,0.370550448,0.019180808,0.67707027,0.429758667,0.6752,0.33268991,0.586955741,0.521239305,3
Zr51Cu20.7Ni12Al16.3,0.493218199,0.296903977,0.358922752,0.446736874,0.004176453,0.318114118,0.527712849,0.412777283,0.460065103,0.262341467,0.068153708,0.357395613,0.407317576,0.352749165,0.166088307,0.527340957,0.548722355,0.386984136,0.034591437,0.342711843,0.607594661,0.489333333,0.395726957,0.315872767,0.542050135,3
