AN,XPd,Cmd,K,VEC,Hmix,HV
0.169726711,0.353230993,0.152884449,0.51800222,0.818867925,0.857318901,327
0.160405793,0.267651123,0.105554864,0.553195757,0.790163934,0.774089237,328
0.133002576,0.265690335,0.126519332,0.388105131,0.693617021,0.631841653,337
0.14881812,0.277330238,0.138367931,0.630301097,0.816949153,0.74908459,338
0.168843829,0.338437561,0.135488727,0.180579028,0.72173913,0.711018478,342
0.1157766,0.376467505,0.096674954,0.607871658,0.618181818,0.526152076,343.7
0.132286996,0.283287026,0.085800713,0.831882353,0.85,0.68818537,348
0.116591928,0.365094169,0.111306288,0.582039216,0.6,0.564188909,348.8
0.758609019,0.360308422,0.030035852,0.078827969,0.064150943,0.775992719,353
0.634080718,0.354610927,0.015321595,0.0084,0.06,0.914880077,356.9
0.117281821,0.354113506,0.120375222,0.560180995,0.584615385,0.594961439,359.3
1,0.38053637,0.025133274,0.041529412,0.1,0.939825247,364.5
0.27385546,0.286754948,0.129938936,0.274834473,0.804651163,0.685723824,365
0.147574399,0.230483141,0.066510912,0.677390374,0.854545455,0.74750113,366.4
0.133532636,0.288735902,0.131817212,0.675137255,0.755555556,0.755781601,367
0.140236445,0.261631435,0.09545538,0.674695187,0.8,0.753288033,367
0.117873158,0.343618178,0.126071073,0.541445378,0.571428571,0.620307356,368.3
0.118834081,0.324183498,0.131604569,0.511,0.55,0.659465602,369.3
0.139421117,0.227654727,0.13429437,0.328171123,0.648484848,0.720575955,371.3
0.107623318,0.331257598,0.106829762,1,0.8,0.678460158,379
0.130941704,0.238290087,0.072995138,0.419952941,0.76,0.601825482,382
0.260089686,0.360770043,0.083106822,0.272862745,0.8,0.661441036,382.3
0.54529148,0.420938777,0.021300734,0,0.08,0.866740274,387.5
0.129808827,0.26856842,0.125930447,0.39425387,0.684210526,0.624661682,388
0.126681615,0.27128623,0.125344872,0.40027451,0.675,0.617829535,388
0.157358337,0.355262992,0.151411438,0.534519786,0.781818182,0.821284148,390
0.149903908,0.354694816,0.142956006,0.651353875,0.784126984,0.825088137,393
0.143497758,0.282837244,0.137599841,0.636,0.8,0.736811433,393
0.804612428,0.608130769,0.031484542,0.048134454,0.095238095,0.897376679,395
0.128550075,0.320817517,0.156390936,0.260256209,0.6,0.704394058,396
0.724826743,0.362251313,0.035585687,0.111315508,0.054545455,0.695419,396
0.556053812,0.826119961,0.04299667,0.067294118,0.1,0.857768765,400
0.218507949,0.338014351,0.058519716,0.238545455,0.763636364,0.648038728,402.5
0.606502242,0.775024679,0.049538115,0.072176471,0.125,0.844092685,403
0.171093481,0.360257971,0.132441831,0.408108597,0.707692308,0.612570404,404
0.140896861,0.345979484,0.145545359,0.291580047,0.69,0.652319992,405
0.120179372,0.274530455,0.0649902,0.7152,0.68,0.807221973,407
0.129699896,0.290092709,0.128533599,0.690190045,0.738461538,0.764836159,407
0.139013453,0.271995009,0.109157044,0.643294118,0.766666667,0.758693162,412.4
0.147746047,0.254902017,0.469276924,0.591306502,0.81754386,0.775685344,415
0.135344476,0.287554022,0.114492662,0.680470588,0.763636364,0.741714227,418
0.130941704,0.305284708,0.120263281,0.725082353,0.76,0.719695059,418
0.260367066,0.364958263,0.127915151,0.324521528,0.771134021,0.763144651,420
0.130452507,0.274736682,0.093600632,0.675978609,0.727272727,0.777882373,423
0.192825112,0.365509771,0.124828244,0.376564706,0.7,0.673305795,425
0.685903685,0.363355759,0.041021724,0.148746803,0.043478261,0.610420438,427
0.556053812,0.762272876,0.04009214,0.148823529,0.2,0.803064444,433.2
0.140405134,0.356991393,0.149107855,0.557160243,0.731034483,0.776336733,436
0.340807175,0.697554116,0.020914051,0.144352941,0.2,0.803064444,440.7
0.141362375,0.374674441,0.152858908,0.504507936,0.720634921,0.770618125,441
0.650224215,0.363332884,0.045237848,0.183058824,0.033333333,0.539875878,441
0.538991578,0.82975431,0.128296587,0.079150646,0.097560976,0.721613258,442
0.561434978,0.694434822,0.032533974,0.140988235,0.2,0.807221973,443
0.154174674,0.214323322,0.137604413,0.297501401,0.688888889,0.756283911,443.2
0.158445441,0.274156432,0.10309281,0.535678805,0.771428571,0.760253386,447
0.733632287,0.927422338,0.019521567,0.174870588,0.2,0.782714437,447
0.112107623,0.265503367,0.076195569,0.454470588,0.7,0.562365432,450
0.521460602,0.746643004,0.041724421,0.188033613,0.180952381,0.739193118,450
0.130308626,0.234860822,0.132170883,0.347114187,0.623529412,0.700451253,450.1
0.233183857,0.298484942,0.114044928,0.916862745,0.866666667,0.907002654,451
0.157759318,0.314651172,0.106411803,0.549122469,0.770491803,0.679529121,458
0.128006523,0.277263004,0.115674904,0.543229946,0.709090909,0.689632096,458
0.310735954,0.682642571,0.021722147,0.193051903,0.176470588,0.726345893,460.1
0.143497758,0.342804014,0.141015207,0.531540616,0.736507937,0.79090655,462
0.550672646,0.444251263,0.105869777,0.059294118,0.12,0.775712284,464
0.482674276,0.554743074,0.253750928,0.05031016,0.072727273,0.387266395,464
0.124279308,0.285657385,0.106544154,0.658957983,0.720634921,0.726733379,470
0.210762332,0.573121205,0.065073864,0.587607843,0.7,0.340509019,472
0.091928251,0.291101004,0.143667442,0.447058824,0.55,0.573306296,472.4
0.132898492,0.281499862,0.116204896,0.672,0.745454545,0.76486184,473
0.10373128,0.285270997,0.06194878,0.729749168,0.630188679,0.775057935,476
0.103828907,0.288278446,0.120787035,0.444271493,0.607692308,0.573856577,478
0,0.041268159,0.019234409,0.311215686,0,0.396428992,478
0.795760294,0.748339763,0.040672291,0.068962567,0.109090909,0.87625973,480
0.088870771,0.296813095,0.117524152,0.473069519,0.563636364,0.550746415,482
0.461298499,0.717633709,0.043656654,0.256225064,0.147826087,0.64400827,483.3
0.075460028,0.302806487,0.114397245,0.498888438,0.524137931,0.53384243,484
0.137399103,0.34632459,0.145205584,0.299227859,0.68,0.64301308,486
0.121076233,0.291278017,0.118703434,0.724058824,0.7,0.788780538,486
0.284005979,0.668328843,0.022136284,0.236339869,0.155555556,0.666573787,486.5
0.101217169,0.28991196,0.120233798,0.44929972,0.6,0.569498082,487
0.152466368,0.692312138,0.030964264,0.36,0.1,0.551424568,489
0.466367713,0.512028324,0.280390613,0.069542484,0.088888889,0.333755399,490
0.300448431,0.30773248,0.128316962,0.271486631,0.790909091,0.659793376,492
0.78767791,0.8394783,0.047591991,0.08797954,0.12173913,0.858606393,492
0.899103139,0.970003176,0.024539999,0.228588235,0.25,0.76477142,493
0.507247888,0.833652803,0.220707802,0.101209302,0.093023256,0.486433231,494
0.130044843,0.357439429,0.147532645,0.570996079,0.7,0.751399252,495
0.507623318,0.822166402,0.053192024,0.383341176,0.52,0.264555109,495
0.116201989,0.29078414,0.111443187,0.743202046,0.67826087,0.804501855,496
0.116591928,0.312981341,0.129280128,0.611869281,0.688888889,0.640639886,496
0.325859492,0.32609985,0.126732196,0.268287582,0.777777778,0.63631757,498
0.835874439,0.977409313,0.040866003,0.275858824,0.24,0.747703672,498.7
0.652914798,0.859882569,0.043119603,0.133458824,0.16,0.824727356,499.6
0.554176661,0.777599084,0.222502165,0.105751026,0.11627907,0.505131517,500
0.114798206,0.280737567,0.1230371,0.423152941,0.64,0.593656304,501.75
0.683856502,0.728289307,0.038423843,0.186235294,0.25,0.79212358,504
0.780269058,0.902269111,0.052941891,0.105411765,0.133333333,0.843788772,505
0.112769242,0.277389951,0.794052195,0.551483124,0.750819672,0.687997191,505
0.067264574,0.305712489,0.112387384,0.514666667,0.5,0.525288059,506.5
0.115212142,0.292967437,0.104852411,0.668597285,0.692307692,0.7089018,507
0.410762332,0.691288307,0.044422578,0.313505882,0.12,0.579651998,509.5
0.09376274,0.290645508,0.060045766,0.738566845,0.6,0.757628211,510
0.713004484,0.928771657,0.03404843,0.230117647,0.233333333,0.770849678,510.3
0.261017473,0.36852367,0.081736345,0.272486815,0.786206897,0.66133407,510.3
0.114798206,0.388029374,0.071648484,0.638870588,0.64,0.478120778,516
0.103363229,0.40481962,0.07378832,0.650458824,0.595,0.426589307,516
0.260089686,0.654614253,0.022267004,0.275071207,0.136842105,0.619812546,516.6
0.23019432,0.25828651,0.125042624,0.266300654,0.777777778,0.629834095,518
0.133371908,0.292484102,0.136055075,0.6468463,0.767741935,0.714780437,520
0.262011531,0.376689944,0.079950079,0.272084034,0.771428571,0.661726342,520.4
0.226230665,0.253999382,0.125971352,0.268060806,0.784269663,0.641797543,521
0.170403588,0.768704184,0.033796102,0.479529412,0.066666667,0.483955905,524
0.47832586,0.83414595,0.280038617,0.12130719,0.088888889,0.292693391,524
0.120618651,0.27627905,0.124183958,0.411947179,0.657142857,0.605142343,527
0.133901345,0.346615344,0.144848675,0.306875671,0.67,0.63397155,530
0.129404228,0.26786058,0.082958415,0.785680672,0.80952381,0.755071016,531.4
0.12690583,0.347033028,0.144082943,0.322171294,0.65,0.616684635,533
0.123408072,0.34715953,0.143673842,0.329819106,0.64,0.608439249,535
0.141704036,0.243561845,0.072104674,0.712376471,0.84,0.747703672,536.2
0.238565022,0.641486553,0.022191102,0.309929412,0.12,0.583153074,536.6
0.098654709,0.435103743,0.085848051,0.74,0.6,0.354489012,537
0.263079223,0.385306802,0.077647181,0.271651416,0.755555556,0.662731728,537.5
0.122111073,0.275083436,0.124472885,0.409073906,0.661538462,0.608196935,538
0.130403588,0.346851559,0.144474504,0.314523482,0.66,0.625195402,539
0.10941704,0.347110507,0.141859055,0.360410353,0.6,0.578111524,539
0.47264574,0.666711073,0.092287225,0.129647059,0.18,0.755581094,540
0.819730942,1,0.055489091,0.104564706,0.12,0.821226279,542
0.134529148,0.25821119,0.078565755,0.755137255,0.822222222,0.750858963,544.9
0.116591928,0.365344854,0.140866507,0.449882353,0.542857143,0.586368349,548.5
0.119351501,0.304133019,0.133731476,0.661864253,0.723076923,0.687149549,549
0.106568188,0.313120219,0.131418672,0.675557094,0.682352941,0.664865051,549
0.38470616,0.363332939,0.122926436,0.260879257,0.747368421,0.586838418,550
0.114961272,0.307391038,0.132958483,0.666566845,0.709090909,0.679183521,553
0.031390135,0.058905216,0.079477445,0.307882353,0.1,0.496720247,555
0.147085202,0.622110004,0.06839037,0.347576471,0.16,0.59715738,556
0.201386058,0.616906886,0.021623186,0.370139038,0.090909091,0.531938979,556.4
0.235523494,0.366889952,0.063710202,0.250189258,0.747826087,0.654762995,556.7
0.080098964,0.296666795,0.057358949,0.750653144,0.55862069,0.736267932,557
0.102611448,0.301814397,0.102390372,0.68199308,0.652941176,0.686443918,557
0.695067265,0.3760306,0.016718929,0.021254902,0.1,0.88025832,558
0.125560538,0.349806244,0.08970222,0.477647059,0.6,0.558262608,560
0.094811019,0.306553197,0.100798957,0.690285714,0.628571429,0.673895262,562
0.270852018,0.599874794,0.124168633,0.504752941,0.76,0.548142309,566
0.098654709,0.259275919,0.320888104,0.630453782,0.657142857,0.450612319,566
0.071748879,0.299593486,0.055669779,0.758039216,0.533333333,0.724654918,567
0.098654709,0.317934351,0.129890455,0.684033614,0.657142857,0.6524601,567
0.13632287,0,0.394956551,0.336188235,0.8,0.317071257,568
0.123977842,0.285607615,0.121343281,0.417005767,0.631372549,0.571819332,569
0.153246247,0.28780023,0.096342477,0.489220801,0.72173913,0.728851099,577
0.300448431,0.791331506,0.15731809,0.582745098,0.666666667,0.51799415,577.6
0.091180867,0.321967926,0.128377094,0.692039216,0.633333333,0.641720466,578
0.154875845,0.284073048,0.098494332,0.503782265,0.737313433,0.737866497,579
0.105650224,0.295455585,0.119951232,0.561331765,0.62,0.653822304,580
0.45186528,0.832184376,0.323571482,0.139694618,0.085106383,0.132593527,580
0.523168909,0.77593662,0.28124805,0.125647059,0.111111111,0.328352504,582
0.148878924,0.295388319,0.090398732,0.450196079,0.68,0.708413813,587
0.155028828,0.331790138,0.104179024,0.530420168,0.746031746,0.642051255,590
0.151708457,0.290868227,0.09427983,0.475479702,0.707042254,0.721036178,594
0.166954122,0.354918353,0.105560962,0.414841629,0.676923077,0.629143547,596
0.080717489,0.326791352,0.126140297,0.703247059,0.6,0.628278061,596
0.15025493,0.293371438,0.092300393,0.462491539,0.693150685,0.714267701,597
0.248760916,0.276315735,0.120605855,0.258055728,0.747368421,0.578109972,600
0.167414051,0.374384577,0.083029639,0.460235294,0.666666667,0.584449769,600
0.265470852,0.289880406,0.116484147,0.250635294,0.72,0.537639079,602
0.1632287,0.385624676,0.106116988,0.444,0.64,0.598907919,602
0.264229044,0.394417257,0.074694013,0.27118552,0.738461538,0.664490954,602
0.060217809,0.302704678,0.053274421,0.768239029,0.498412698,0.710414428,603
0.083911788,0.31225628,0.098485292,0.701872683,0.594520548,0.658095428,603
0.109003104,0.412423354,0.108835535,0.514027149,0.492307692,0.550421116,605
0.251121076,0.388176938,0.067747523,0.260862745,0.733333333,0.661137123,605.6
0.159192825,0.67993422,0.067553897,0.434117647,0.15,0.556895,606
0.494800115,0.772446549,0.324431449,0.143849812,0.106382979,0.182320225,612
0.173393124,0.297326057,0.124653396,0.249673203,0.755555556,0.610383669,616.8
0.149476831,0.434496136,0.136775632,0.453647059,0.533333333,0.603900194,621.5
0.053121766,0.304083485,0.05176226,0.774515837,0.476923077,0.702686871,624
0.077130045,0.315273683,0.096990671,0.709082353,0.573333333,0.64928452,624
0.265470852,0.404070311,0.070908925,0.270682353,0.72,0.667178911,624.6
0.130044843,0.363426898,0.061538545,0.586980392,0.7,0.493681118,625.3
0.165919283,0.374556712,0.127734515,0.418470588,0.666666667,0.610991495,627
0.161434978,0.369362686,0.113293239,0.414352941,0.633333333,0.633481049,635
0.152466368,0.346284746,0.102034917,0.512868778,0.723076923,0.609462939,636
0.162814764,0.351158898,0.108004935,0.400506787,0.646153846,0.650895798,639
0.156605726,0.279572045,0.100742006,0.519239819,0.753846154,0.748263015,639
0.427564748,0.828439967,0.357317706,0.156581032,0.081632653,0,640
0.037155669,0.305683676,0.048245935,0.788638656,0.428571429,0.68818537,644
0.061659193,0.320652474,0.093414802,0.725529412,0.525,0.632113441,644
0.15005689,0.358623479,0.099974011,0.496365232,0.701492537,0.581101875,646
0.165919283,0.337084501,0.131761055,0.173113726,0.7,0.697910583,650
0.132286996,0.404386049,0.113756661,0.475843137,0.55,0.574521948,655
0.067609521,0.318830322,0.09481822,0.71920362,0.543589744,0.638235758,655
0.145645171,0.378230086,0.096081999,0.466147473,0.661971831,0.534904753,657
0.043260354,0.305318838,0.049609721,0.783238754,0.447058824,0.693258297,657
0.147787093,0.36917613,0.097991255,0.480818414,0.68115942,0.55640782,664
0.143620616,0.386013367,0.094241943,0.452280419,0.643835616,0.516186527,667
0.137091608,0.291990131,0.118891899,0.408224089,0.619047619,0.542505655,668
0.776192417,0.903182233,0.059099551,0.285390374,0.290909091,0.757628211,675.5
0.094170404,0.223261444,0.345466104,0.685882353,0.7,0.415879417,680.4
0.141704036,0.392709989,0.092467138,0.439152941,0.626666667,0.499905254,696
0.00896861,0.076859088,0.085230893,0.410039216,0.066666667,0.406154204,704
0.721973094,0.879137083,0.072010606,0.286431373,0.3,0.756261859,704.6
0.16367713,0.371498027,0.111905605,0.422117647,0.65,0.620716708,711
0.082097275,0.291699223,1,0.516561086,0.692307692,0.621892797,736
0.157358337,0.300572633,0.115026686,0.394652407,0.6,0.501557737,747
0.158269586,0.408691822,0.124105177,0.446117647,0.603921569,0.593692647,754
0.6367713,0.834084595,0.084997028,0.288067227,0.314285714,0.757849649,754.9
0.159804321,0.390012768,0.119079125,0.430716577,0.618181818,0.612955626,763.4
0.152466368,0.406653846,0.103364763,0.445411765,0.56,0.620789647,775
0.155156951,0.410848806,0.127279043,0.441035294,0.58,0.606785341,788
0.156950673,0.39029571,0.126662149,0.419647059,0.6,0.62618714,800
0.277681959,0.298323393,0.113389612,0.24521267,0.7,0.511707289,817
0.353037097,0.595078791,0.063799449,0.278502674,0.454545455,0.583840269,829.6
0.346786248,0.599555457,0.06460323,0.271424837,0.444444444,0.580127453,844.9
0.319282511,0.614144958,0.066914321,0.240282353,0.4,0.569148768,849.6
0.154536047,0.388043047,0.131042019,0.410280543,0.584615385,0.63846594,850
0.178251121,0.476768415,0.13284039,0.456941176,0.525,0.6193491,853.8
0.086236633,0.265833273,0.334622646,0.54479638,0.6,0.36915236,860
0.217040359,0.613465245,0.086563934,0.429129412,0.52,0.4859982,890
0.143497758,0.424378814,0.072873133,0.463372549,0.488888889,0.638478728,904
0.195515695,0.495985223,0.130309629,0.458917647,0.52,0.628667069,911.5
0.366431774,0.584039227,0.061708897,0.293669468,0.476190476,0.593314929,916.2
0.381165919,0.569594516,0.058796069,0.310352941,0.5,0.606128889,959.6
